model,immune_term,oxygen_modifier,vascular_sink,purpose
Physical-only,No,No,No,Baseline dose interpretation
No-sink biology,No,Neutral (M_oxygen = 1),No,Primary non-local biology model
With-sink biology,No,Neutral (M_oxygen = 1),Yes,Primary anatomical uptake test
Oxygen sensitivity,No,Active synthetic modifier,Optional / paired,Sensitivity branch to quantify oxygen-state amplification
