comparator_id,comparator_label,metric,label,units,n_cases,mean_true_minus_comparator,median_true_minus_comparator,ci_lower,ci_upper,cases_favoring_true_sink,fraction_favoring_true_sink,ci_excludes_zero
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_global_auc,cytokine_global_auc,a.u.,10,17.1299690246582,16.538219451904297,12.927421360015869,21.57722480773926,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,252.70220336914062,281.71820068359375,189.25415817260742,315.5584761047363,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0002656370401382446,-0.0001017451286315918,-0.0005274730175733566,-6.575137376785289e-05,8,0.8,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.028653764724731447,0.030235350131988525,0.021540615260601043,0.03507713615894317,0,0.0,True
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,10,10.057204437255859,9.305839538574219,7.215424766540528,13.061789741516112,0,0.0,True
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,50.19171142578125,33.969970703125,-28.404182739257813,125.01538269042965,4,0.4,False
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0005071401596069336,-0.0003115236759185791,-0.0011020094156265257,-9.391099214553837e-05,7,0.7,True
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.016661131381988527,0.01904389262199402,0.002881911545991898,0.02810366228222847,1,0.1,True
mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_global_auc,cytokine_global_auc,a.u.,10,0.0,0.0,0.0,0.0,0,0.0,False
mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,0.0,0.0,0.0,0.0,0,0.0,False
mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,0.0,0.0,0.0,0.0,0,0.0,False
mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.0,0.0,0.0,0.0,0,0.0,False
no_sink,"Bystander, no vascular sink",cytokine_global_auc,cytokine_global_auc,a.u.,10,-10.468336486816407,-11.15658950805664,-14.031451568603515,-7.109467239379886,10,1.0,True
no_sink,"Bystander, no vascular sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,-153.092041015625,-143.5545654296875,-234.76440826416015,-88.25050964355468,10,1.0,True
no_sink,"Bystander, no vascular sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0006131619215011596,-0.0004374682903289795,-0.0013650313019752502,-0.00011627621948719042,7,0.7,True
no_sink,"Bystander, no vascular sink",mean_tunel_valley,mean_tunel_valley,a.u.,10,-0.02084217667579651,-0.015550345182418823,-0.035445976257324215,-0.011378679722547531,10,1.0,True
peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,10,5.874748992919922,5.745708465576172,2.384820671081543,9.048890953063962,1,0.1,True
peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,-82.93861083984375,-80.4815673828125,-158.74932250976562,-10.74108703613282,6,0.6,True
peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0012844592332839967,-0.001100391149520874,-0.0019126854836940767,-0.0008444307744503021,10,1.0,True
peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,10,-0.00796920657157898,-0.003439992666244507,-0.02202662616968155,0.0019290535151958459,6,0.6,False
shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_global_auc,cytokine_global_auc,a.u.,10,0.5653373718261718,0.6024017333984375,-1.068040542602539,2.0177339553833002,4,0.4,False
shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,17.28033447265625,21.1689453125,-55.221412353515625,69.23191986083982,1,0.1,False
shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,0.00022028088569641112,0.0002605617046356201,-9.661287069320679e-05,0.0004984737932682035,3,0.3,False
shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.0026442646980285645,0.0026135146617889404,-0.007002371996641159,0.010290407240390775,2,0.2,False
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_global_auc,cytokine_global_auc,a.u.,10,15.041627502441406,16.281646728515625,12.046172885894775,17.737414512634277,0,0.0,True
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,139.9517822265625,163.6854248046875,61.90599792480469,196.95827667236324,1,0.1,True
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0006232559680938721,-0.00044676661491394043,-0.001348128765821457,-0.00013169154524803164,7,0.7,True
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.00983780026435852,0.01575794816017151,-0.004832425266504288,0.019579484909772873,1,0.1,False
