metric,n_repeats,mean,std,min,max,p2_5,p97_5,coefficient_of_variation_pct
peripheral_target_d95_gy,9,3.4999999867545233,7.836129642989391e-08,3.4999998211860657,3.5000000596046448,3.4999998450279235,3.5000000596046448,2.238894192184175e-06
pvdr,9,2.0334402534265825,0.1925455237005956,1.7729684458992239,2.3320868953967553,1.7812685622677484,2.3133233543830536,9.468954073085456
spill_shell_0_5_mean_gy,9,6.850261741214329,0.8580206102499408,5.812148094177246,8.312482833862305,5.851424884796143,8.211492538452148,12.525369725476235
spill_shell_5_15_mean_gy,9,5.201352066463894,0.7818747855559772,4.396191596984863,6.7317681312561035,4.4104231834411625,6.602700519561767,15.032145018545723
cord_d2_gy,9,9.705448701646594,1.4708362196988487,8.175034255981444,13.262099533081054,8.275867378234862,12.78233683013916,15.154747244702984
brainstem_d2_gy,9,14.32593264049954,2.3106955341187327,8.506267261505128,16.57603832244873,9.395819480895996,16.454716033935547,16.129459715497866
parotid_r_mean_gy,9,3.5129124687774778,1.452831486282482,1.3243194203887814,5.948919936041651,1.5027806128914825,5.810860595613001,41.35689400732718
peak_mean_gy,9,14.989152510133055,0.2856598515126327,14.683668203651905,15.577855236828327,14.693960398435593,15.515289156138897,1.9057772033443465
valley_mean_gy,9,7.445340010070542,0.7915544284402023,6.357576018213145,8.585351967244858,6.39811642138504,8.55846343887609,10.631541707558666
