plan_id,case_label,comparator_id,comparator_label,metric,label,units,n_repeats,mean_true_minus_comparator,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,favors_true_sink,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",ptv_d95,PTV D95,Gy,9,-0.8622176700168187,0.11089547446275436,-1.0619483947753885,-0.7114706039428711,-1.0495946311950668,-0.7151989364624022,-0.9336841038862854,-0.7916291732258268,0.27976689057555265,0.3009440468237122,0.5898503317744759,2.865043117207402,False,True,True,True
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",pvdr,PVDR,ratio,9,0.020498397840743046,0.0016646524043655113,0.01675547118801557,0.02222986421767792,0.01723612738392837,0.022211007131887905,0.019345341268684035,0.021477061684528682,0.0015836780212045896,0.0022976300185639903,0.004503354836385421,8.921539880278228,True,True,True,True
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.30522226460365887,0.0033800103686530015,-0.3107496731380941,-0.29825348857131573,-0.310217775338716,-0.29908741139599115,-0.30740161734250804,-0.3027640704374393,0.02723666587336678,0.027445590501747715,0.05379335738342552,11.120994630602775,True,True,True,True
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.2389788123208315,0.0036201155007463156,-0.2449470936059832,-0.23392804318767801,-0.24494181346964794,-0.2342582165818758,-0.24146152004452465,-0.23664739874759405,0.015621700418024183,0.01603567149168505,0.0314299161237027,14.902950116229855,True,True,True,True
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",brainstem_d2,Brainstem D2,Gy,9,-0.25597997029622416,0.10320103292669824,-0.5098872375488277,-0.16143135070800696,-0.47730604553222733,-0.163599853515624,-0.3321709266238739,-0.19933896721733763,0.0002456251870243295,0.10320132522826417,0.20227459744739776,2.480394217128889,True,True,True,True
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",parotid_r_mean,Parotid R mean,Gy,9,-0.21389869597356861,0.03104463616939104,-0.25611682817189374,-0.1691298724424959,-0.2554851075374717,-0.16930016479106866,-0.2336833566561022,-0.19435787128880372,0.03639150021953754,0.04783420034994275,0.09375503268588778,4.471668689112405,True,True,True,True
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",outside_gtv_d2,Outside-GTV D2,Gy,9,-0.028328238593209123,0.0313739619305263,-0.11549797058107458,-0.010216140747047575,-0.09796203613283083,-0.010581436157208657,-0.0514742342631088,-0.014444814258145469,0.0,0.0313739619305263,0.06149296538383155,0.9029219406824822,True,False,False,True
case02,Left maxillary sinus crescent abutting orbit,no_sink,"Bystander, no vascular sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9,-0.6211879867863457,0.01926044536177883,-0.646836535276881,-0.5889639396399264,-0.6452752390789531,-0.5898934149021503,-0.632484899882539,-0.6077904320799057,0.0,0.01926044536177883,0.03775047290908651,32.25200534661857,True,True,True,True
case02,Left maxillary sinus crescent abutting orbit,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",ptv_d95,PTV D95,Gy,9,-0.551178322898017,0.1538484679989592,-0.7380664348602295,-0.2314542770385728,-0.7330311012268066,-0.2749200630187979,-0.6486034033033576,-0.44602899882528524,0.3956501309548962,0.42450957260143535,0.8320387622988132,1.2983884427395675,False,True,False,True
case02,Left maxillary sinus crescent abutting orbit,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",pvdr,PVDR,ratio,9,0.23790069553840784,0.011170180135694893,0.2106479727687145,0.2502242426974908,0.21509856405820452,0.249917758958073,0.22972888267915798,0.2441334114415512,0.002239658936019717,0.011392497373866968,0.022329294852779256,20.882225181295517,True,True,True,True
