plan_id,nominal_no_sink_rank,nominal_with_sink_rank,nominal_with_sink_vs_no_sink_shift,simulated_mean_shift,simulated_shift_sd,simulated_shift_ci_lower,simulated_shift_ci_upper,simulated_probability_same_direction_as_nominal,simulated_probability_nonzero_shift,simulated_mean_risk_delta,simulated_risk_delta_sd,simulated_risk_delta_ci_lower,simulated_risk_delta_ci_upper,noise_qualified_rank_change
case02,1,1,0,-0.0695,0.7704996755352983,-1.0249999999999986,1.0,0.5265,0.4735,-0.1170352948370694,1.84381763740126,-3.8130170961601806,3.4676563016156448,False
case03,6,6,0,0.486,0.9668526257915422,-1.0,3.0,0.517,0.483,1.185470949286077,1.7096317279062472,-2.251247184761602,4.4564823194254775,False
case04,3,3,0,-0.5915,1.109336626096876,-3.0,1.0,0.3765,0.6235,-1.285372331940776,1.582524709656648,-4.190127383420274,1.956704866547536,False
case05,5,5,0,0.2395,1.0794163932422,-2.0,2.0,0.354,0.646,0.6333676729270553,1.5941664056417921,-2.45744518807242,3.7632762908229425,False
case06,4,4,0,-0.1155,1.3157354407326725,-3.0,2.0,0.2985,0.7015,-0.2688875102176685,2.0058827019728436,-4.172621185513412,3.7178385007736394,False
case07,2,2,0,0.051,1.1141808650304492,-2.0,2.0,0.401,0.599,-0.14754348521761873,2.2945587758562165,-4.506311291012383,4.308418102024561,False
