plan_id,case_label,mode,endpoint,label,units,n_repeats,mean,std,min,max,p2_5,p97_5,mean_ci_lower,mean_ci_upper
case02,Left maxillary sinus crescent abutting orbit,bystander_no_sink,brainstem_d2,Brainstem D2,Gy,9,24.094206042819557,2.1869086955652097,22.669964904785157,30.07244209289551,22.710478286743164,28.996283996582033,23.08447495057848,25.748414612028338
case02,Left maxillary sinus crescent abutting orbit,bystander_no_sink,cord_d2,Cord D2,Gy,9,16.506872071160206,2.0221349651495557,14.397347373962402,20.995208358764643,14.438654075622559,20.59932154846191,15.319600732061597,17.88716744041442
case02,Left maxillary sinus crescent abutting orbit,bystander_no_sink,parotid_r_mean,Parotid R mean,Gy,9,3.9455340089621367,1.297460652780435,2.854437524983377,6.961421952103123,2.8864361503389144,6.660890604654948,3.2010243833389476,4.907163956817553
case02,Left maxillary sinus crescent abutting orbit,bystander_no_sink,ptv_d95,PTV D95,Gy,9,16.988401646084256,0.4436312922851688,16.320607566833495,18.01054677963257,16.388001041412352,17.852411155700686,16.72174309571584,17.29550712691413
case02,Left maxillary sinus crescent abutting orbit,bystander_no_sink,pvdr,PVDR,ratio,9,1.6193629090081803,0.05838025746172124,1.489759553614028,1.691248193241791,1.5079725251067295,1.6888841130462509,1.5811256363966237,1.6539039372383084
case02,Left maxillary sinus crescent abutting orbit,bystander_no_sink,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,20.628135180812343,0.9818067957094212,19.478728780470476,22.946500727172065,19.512839745990714,22.578458563335456,20.062687417955047,21.30949369370405
case02,Left maxillary sinus crescent abutting orbit,bystander_no_sink,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,17.340460488575527,1.1043304157524734,15.961184346493534,19.86751812304363,16.05010718733936,19.569426633271448,16.675560704330653,18.118315009214125
case02,Left maxillary sinus crescent abutting orbit,bystander_with_sink,brainstem_d2,Brainstem D2,Gy,9,23.838226072523334,2.199617646811449,22.45760261535645,29.829815368652348,22.465620300292972,28.7698963470459,22.808530510796444,25.37456589677599
case02,Left maxillary sinus crescent abutting orbit,bystander_with_sink,cord_d2,Cord D2,Gy,9,16.430374751620818,2.0119712737731055,14.331981315612792,20.880841674804685,14.370630874633788,20.49398268127441,15.248948545561895,17.869766879823466
case02,Left maxillary sinus crescent abutting orbit,bystander_with_sink,parotid_r_mean,Parotid R mean,Gy,9,3.7316353129885678,1.2909116309346311,2.6342247769086047,6.708463727103339,2.668249001623404,6.419593857129414,3.017929651337508,4.661107976994865
