repeat_id,seed,history_scale,histories_base,histories_spot,repeat_root,plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,3.4999998092651365,1.3246243815336918,10.616750914920182,9.259109969757013,11.150527839660644,18.4617667388916,1.2384635959008727,4.467666912078857,11.082885925245728,34.45478439331055,9.098654143978852,6.751257632447279,21.28788299560546,6.251740487196613,10.616750914920182,15.00376167024885,11.326804699817636,525,18031,1.2915357001833112,4
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",18.01054677963257,1.489759553614028,22.946500727172065,19.86751812304363,20.995208358764643,30.07244209289551,6.961421952103123,21.267693710327148,21.746880026424634,44.411277770996094,18.657503041354094,15.755151660638571,29.06786003112793,15.531443741264917,22.946500727172065,38.804842173258464,26.047721646839765,525,18031,-2.6845801311418462,2
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",17.2990761756897,1.5065150248020436,22.640203943651205,19.63085950169414,20.880841674804685,29.829815368652348,6.708463727103339,20.549619674682617,21.68002196805027,44.21287155151367,18.185486338836977,15.513539554628384,29.055817413330075,14.884607205988036,22.640203943651205,38.78745944795154,25.746480326705154,525,18031,-2.7324203823451976,2
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,3.4999999403953552,1.6430879243897996,8.037214046620052,6.743864449031269,16.608116302490235,16.749993362426757,4.127419603232181,3.9575865745544436,7.661994228053019,24.421329498291016,8.146112996881659,4.8214137878926735,15.770204086303712,8.480498588393639,8.037214046620052,14.2462213138614,8.670394993714094,793,18035,-0.5707146313471438,3
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",17.390217304229736,1.5264859216008824,21.324895393327555,17.732280408211473,38.92907775878906,37.458449859619144,16.921798355410797,20.29178171157837,19.326947979882775,43.85106658935547,20.210569038776438,13.93992059347478,25.35408435821533,19.544081876478288,21.324895393327555,38.07241579803813,24.94121646278282,793,18035,2.2582982390811797,4
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",15.52032208442688,1.3466538021946348,20.514228044155043,17.346032266539705,38.77044418334961,37.11350723266602,15.77126443073003,16.617465019226074,19.232708471847392,39.643516540527344,19.199879563456832,13.73639060553241,24.733222084045412,18.99195574478069,20.514228044155043,31.71464353130865,23.550702845544606,793,18035,2.47078609340296,5
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,3.5000001907348635,3.6470052244081024,6.192620447529325,3.9236265569255577,10.753044204711914,9.624378623962404,2.2507835269576373,4.3905445575714115,8.229144481682557,33.115413665771484,3.41250476893602,1.793838019859782,8.260335884094236,4.100028772372992,6.173923546250373,24.11396412178874,6.611990561571615,256,13699,-11.004771217052362,1
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",17.4611759185791,1.691393824575481,20.399698111195463,14.380215977918981,32.5573336791992,20.66697608947754,11.620633098332569,21.933442497253417,22.21854225253173,48.34082794189453,12.605125776926677,8.516519486961686,21.502413940429683,14.822144034710984,20.383856321986688,41.145140282809734,24.32617388391888,256,13699,-6.367157654133601,1
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",12.903889083862305,1.9568937064667467,18.398732440063903,13.73697839460498,32.33647964477537,20.544829101562502,10.654320220754604,13.021593379974366,21.975213887890796,48.209747314453125,11.679209366711703,8.27693108278601,20.359856338500972,14.129845645277697,18.380290180573194,40.94776036590338,20.92487713082601,256,13699,-6.145020025277998,1
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,3.5000001192092896,1.6649649606442294,8.255703767662006,6.368787333138899,17.337163925170895,18.849042282104495,6.260446723302206,3.6153177618980408,7.657628174167669,26.664260864257812,3.186375165828551,4.555915333629328,16.814552764892582,7.789580872241416,8.255703767662006,14.031377653485722,8.427431198345774,776,18122,-0.5849391564955942,2
