case_id,case_label,metric,label,units,n_repeats,mean,std,min,max,p2_5,p97_5,mean_ci_lower,mean_ci_upper,coefficient_of_variation_pct
case02,Left maxillary sinus crescent abutting orbit,ptv_d95_gy,PTV D95,Gy,9,3.4999999350971644,7.45756799056707e-08,3.4999998092651365,3.5000000119209287,3.4999998092651365,3.500000009536743,3.499999883439806,3.499999980131785,2.1307337511022093e-06
case02,Left maxillary sinus crescent abutting orbit,gtv_d95_gy,GTV D95,Gy,9,3.931812678443061,0.2276665506219722,3.7045312881469727,4.467666912078857,3.7166038608551024,4.403916511535645,3.803605406549242,4.103437619474199,5.790371242002423
case02,Left maxillary sinus crescent abutting orbit,peak_mean_gy,Peak mean,Gy,9,14.03240812967694,0.403410095175976,13.48783070518857,15.00376167024885,13.550654268900553,14.855748560587566,13.800634552864802,14.30134929485422,2.8748457958745495
case02,Left maxillary sinus crescent abutting orbit,valley_mean_gy,Valley mean,Gy,9,7.883014579202997,1.4028418505805895,6.476511359730468,11.326804699817636,6.500658128739038,10.799528759113333,7.093066904465737,8.844398659897564,17.795753597634754
case02,Left maxillary sinus crescent abutting orbit,pvdr,PVDR,ratio,9,1.8226146145883217,0.24989141952760596,1.3246243815336918,2.159679685962725,1.3859476295442712,2.1490263501951317,1.6523576938800804,1.9664260695085138,13.710601107192897
case02,Left maxillary sinus crescent abutting orbit,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,7.497316584210602,1.2937535849880486,6.060654134305727,10.616750914920182,6.099544963352167,10.113992477938293,6.770670390383905,8.434910134490535,17.256221882275884
case02,Left maxillary sinus crescent abutting orbit,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,6.418625635849985,1.2584841418836208,4.9525966319486745,9.259109969757013,5.024957945160604,8.95015512476287,5.690130642944358,7.283613400271788,19.606754051125876
case02,Left maxillary sinus crescent abutting orbit,cord_d2_gy,Cord D2,Gy,9,5.6254989178975405,2.346769906304994,3.37060528755188,11.150527839660644,3.436280427932739,10.545362358093259,4.288639842298295,7.348325666613045,41.71665376805493
case02,Left maxillary sinus crescent abutting orbit,brainstem_d2_gy,Brainstem D2,Gy,9,8.2410320769416,4.014679635797667,4.873595237731934,18.4617667388916,5.002047412872314,16.95368606567383,6.024693345970579,11.26565551895566,48.71573849385609
case02,Left maxillary sinus crescent abutting orbit,parotid_r_mean_gy,Parotid R mean,Gy,9,0.3764435026313855,0.33648170380532766,0.1435745618070918,1.2384635959008727,0.14689595076020318,1.1179194631630722,0.20029956756539088,0.6224839791226253,89.38438343424178
case02,Left maxillary sinus crescent abutting orbit,thyroid_mean_gy,Thyroid mean,Gy,9,8.585058954416535,1.7591910341913954,5.976967528324009,11.082885925245728,6.130593757880361,10.993554121938653,7.458042623296938,9.731244674067153,20.4913098853723
case02,Left maxillary sinus crescent abutting orbit,body_dmax_gy,Body Dmax,Gy,9,29.201095792982315,7.409739434372614,21.69599151611328,41.908912658691406,21.901548385620117,41.749385833740234,24.776840029822456,34.25492519272698,25.374867734084635
case03,Base-of-tongue / oropharynx bilobed central mass,ptv_d95_gy,PTV D95,Gy,9,3.5000000132454767,1.0429498717535616e-07,3.4999998807907104,3.5000001788139343,3.4999998807907104,3.500000166893005,3.4999999470180936,3.50000007947286,2.9798567651617124e-06
case03,Base-of-tongue / oropharynx bilobed central mass,gtv_d95_gy,GTV D95,Gy,9,4.000049234761132,0.1580986772140811,3.706471574306488,4.238472557067871,3.7356339406967165,4.229250612258911,3.897274344497257,4.098303033875094,3.9524182812595345
case03,Base-of-tongue / oropharynx bilobed central mass,peak_mean_gy,Peak mean,Gy,9,14.158301850335343,0.23137567228692363,13.733624609842577,14.579613728902078,13.774622504437556,14.53640059378529,13.997350847787912,14.307343710272255,1.6342049684542035
case03,Base-of-tongue / oropharynx bilobed central mass,valley_mean_gy,Valley mean,Gy,9,8.282846048259582,0.9838560413851799,6.872512260539597,9.834561610492868,6.9213945971918065,9.817131421179992,7.628650497252106,8.925425112374533,11.878236486019329
case03,Base-of-tongue / oropharynx bilobed central mass,pvdr,PVDR,ratio,9,1.7301646600816256,0.1760292148172458,1.460517369477163,1.9983412308622461,1.467562340878198,1.990376315872899,1.617352572516376,1.848208455444222,10.174130756372119
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,7.60311859931015,1.1173106622875002,6.011795262872403,9.478619964413015,6.09287630472579,9.420726480148886,6.909921180144189,8.336718996910253,14.69542593204947
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,6.40257466643531,0.9091214623081555,5.236963507150704,7.97438320599155,5.270811032275305,7.9099035374584865,5.851127892497834,6.947286767222221,14.199310584757567
case03,Base-of-tongue / oropharynx bilobed central mass,cord_d2_gy,Cord D2,Gy,9,18.20985380384657,2.7851817384314668,15.046515007019043,25.120019454956054,15.213336524963378,24.016915924072265,16.655212548679774,20.133861622068615,15.294915425642445
case03,Base-of-tongue / oropharynx bilobed central mass,brainstem_d2_gy,Brainstem D2,Gy,9,17.696455171373156,2.0386680628032376,15.041935234069825,21.455668640136718,15.112919311523438,21.12600932312012,16.427204350365532,19.040204204453364,11.520205843829723
case03,Base-of-tongue / oropharynx bilobed central mass,parotid_r_mean_gy,Parotid R mean,Gy,9,4.4271654497493405,0.5840958109576956,3.703235135415588,5.76807837907714,3.7467790884923455,5.557493117650349,4.085298050698541,4.8438545790404985,13.193448891564833
