repeat_id,seed,history_scale,histories_base,histories_spot,repeat_root,plan_id,physical_rank,no_sink_rank,with_sink_rank,no_sink_vs_physical_shift,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift,physical_risk_score,no_sink_risk_score,with_sink_risk_score
seed22_hist1p0,22,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist1p0,case05,5,5,5,0,0,0,1.4503179666510813,2.6216403540540076,4.24845269620956
seed22_hist1p0,22,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist1p0,case06,1,3,4,2,3,1,-2.505012041920943,0.3471350900162242,-0.39672945065364185
seed22_hist1p0,22,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist1p0,case07,4,2,2,-2,-2,0,0.8015993077701298,-1.7134418667127187,-2.338629145302773
seed22_hist2p0,22,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist2p0,case02,2,1,1,-1,-1,0,-4.076410674578266,-4.461396009980167,-4.289085665612853
seed22_hist2p0,22,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist2p0,case03,4,5,5,1,1,0,2.2500566519369563,2.1603223288929123,3.87719833299085
seed22_hist2p0,22,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist2p0,case04,3,4,2,1,-1,-2,1.2788636932230897,1.8291212504113938,-1.7681094746779333
seed22_hist2p0,22,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist2p0,case05,6,6,6,0,0,0,3.7340813191506577,2.2926135626011446,4.538359624851706
seed22_hist2p0,22,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist2p0,case06,1,2,3,1,2,1,-6.2292809412185415,-0.953853268019182,-1.3316141984760428
seed22_hist2p0,22,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist2p0,case07,5,3,4,-2,-1,1,3.042689963087073,-0.8668078639060401,-1.0267486190757436
seed33_hist0p5,33,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist0p5,case02,2,1,1,-1,-1,0,-4.377543342647976,-5.557604389366606,-5.805671575794939
seed33_hist0p5,33,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist0p5,case03,5,6,6,1,1,0,3.796744840656997,2.407723048980104,4.172853293411021
seed33_hist0p5,33,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist0p5,case04,1,3,2,2,1,-1,-4.645690877192599,0.03524961201262733,-2.19011596255302
seed33_hist0p5,33,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist0p5,case05,3,4,5,1,2,1,-1.6900395748870602,1.3281655921319317,2.617161520547681
seed33_hist0p5,33,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist0p5,case06,4,5,4,1,0,-1,1.0477918622066837,1.839944106168203,1.3620825736848678
seed33_hist0p5,33,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist0p5,case07,6,2,3,-4,-3,1,5.86873708692489,-0.053477969926286006,-0.15630984929558644
seed33_hist1p0,33,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist1p0,case02,2,1,1,-1,-1,0,-1.9335834344633442,-3.5738556892566833,-3.721391293591303
seed33_hist1p0,33,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist1p0,case03,6,6,6,0,0,0,4.261402113271613,3.2150417994317353,4.662559904185677
seed33_hist1p0,33,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist1p0,case04,3,3,3,0,0,0,-0.824208793031747,0.7053577610717243,-1.4953870897906523
seed33_hist1p0,33,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist1p0,case05,4,5,5,1,1,0,0.4952810820581133,1.7405389300206118,2.553008925441104
seed33_hist1p0,33,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist1p0,case06,5,4,4,-1,-1,0,2.5171700373222183,1.3653971309121795,1.3146989301009655
seed33_hist1p0,33,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist1p0,case07,1,2,2,1,1,0,-4.516061000920657,-3.4524799321795814,-3.313489376345807
seed33_hist2p0,33,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist2p0,case02,4,1,2,-3,-2,1,0.6877082742880227,-3.492161646249699,-2.7379043393097335
seed33_hist2p0,33,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist2p0,case03,6,6,6,0,0,0,7.451206327671967,3.710950146039135,5.151878655703696
seed33_hist2p0,33,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist2p0,case04,3,4,3,1,0,-1,-1.3632504737046434,0.7611101801499154,-1.853548759998303
seed33_hist2p0,33,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist2p0,case05,5,5,5,0,0,0,1.4434915417328027,2.719982446673249,2.943744576273823
seed33_hist2p0,33,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist2p0,case06,1,3,4,2,3,1,-5.4838630816767,-0.6866434958882649,-0.2733082495871437
seed33_hist2p0,33,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed33_hist2p0,case07,2,2,1,0,-1,-1,-2.7352925913782236,-3.0132376307243702,-3.230861883082315
