repeat_id,seed,history_scale,histories_base,histories_spot,repeat_root,case_id,case_label,component,ptv_d95_gy,gtv_d95_gy,peak_mean_gy,valley_mean_gy,pvdr,spill_shell_0_5_mean_gy,spill_shell_5_15_mean_gy,cord_d2_gy,brainstem_d2_gy,parotid_r_mean_gy,thyroid_mean_gy,body_dmax_gy
seed11_hist0p5,11,0.5,6000,12000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case02,Left maxillary sinus crescent abutting orbit,combined_processed_scaled,3.4999998092651365,4.467666912078857,15.00376167024885,11.326804699817636,1.3246243815336918,10.616750914920182,9.259109969757013,11.150527839660644,18.4617667388916,1.2384635959008727,11.082885925245728,34.45478439331055
seed11_hist0p5,11,0.5,6000,12000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case03,Base-of-tongue / oropharynx bilobed central mass,combined_processed_scaled,3.4999999403953552,3.9575865745544436,14.2462213138614,8.670394993714094,1.6430879243897996,8.037214046620052,6.743864449031269,16.608116302490235,16.749993362426757,4.127419603232181,7.661994228053019,24.421329498291016
seed11_hist0p5,11,0.5,6000,12000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case04,Laryngo-hypopharyngeal elongated cylinder,combined_processed_scaled,3.5000001907348635,4.3905445575714115,24.11396412178874,6.611990561571615,3.6470052244081024,6.192620447529325,3.9236265569255577,10.753044204711914,9.624378623962404,2.2507835269576373,8.229144481682557,33.115413665771484
seed11_hist0p5,11,0.5,6000,12000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case05,Parapharyngeal / prestyloid deep-space bulky mass,combined_processed_scaled,3.5000001192092896,3.6153177618980408,14.031377653485722,8.427431198345774,1.6649649606442294,8.255703767662006,6.368787333138899,17.337163925170895,18.849042282104495,6.260446723302206,7.657628174167669,26.664260864257812
seed11_hist0p5,11,0.5,6000,12000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case06,Buccal mucosa / cheek infiltrative crescent,combined_processed_scaled,3.499999833106995,3.5538650512695313,14.96737694840894,9.995699001329243,1.4973817185189906,10.692615682079646,8.971581063318121,17.23211860656738,19.403456573486327,3.5964731746249727,8.525903159619855,30.700841903686523
seed11_hist0p5,11,0.5,6000,12000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case07,Oral tongue / floor-of-mouth horseshoe,combined_processed_scaled,3.500000047683716,3.8904423475265504,18.834329517558217,12.631751761683777,1.4910306878170994,11.2367628904537,10.772220081634519,20.45859436035155,23.966602249145513,11.634526340407554,8.964017605264859,39.915645599365234
seed11_hist1p0,11,1.0,12000,24000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case02,Left maxillary sinus crescent abutting orbit,combined_processed_scaled,3.499999988079071,3.764894151687622,14.263696121942429,7.140636342230695,1.9975385159421981,6.8059618929498065,5.813595866010028,5.055563087463377,5.98708158493042,0.6357429322118711,7.019314769620866,25.400753021240234
seed11_hist1p0,11,1.0,12000,24000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case03,Base-of-tongue / oropharynx bilobed central mass,combined_processed_scaled,3.4999999403953552,3.852283406257629,14.051590727076103,7.826994460482395,1.7952728595913778,6.954701089112108,6.044435922241597,15.880622596740722,15.396855621337892,3.9209549007993756,7.6727671435004785,21.530689239501953
seed11_hist1p0,11,1.0,12000,24000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case04,Laryngo-hypopharyngeal elongated cylinder,combined_processed_scaled,3.5000001907348635,4.0203588008880615,14.609754245728254,5.724451532815702,2.5521666419878155,5.3996220953107725,3.601243214778659,8.300867385864256,7.679363956451417,3.208233581167279,6.08394644540899,18.7158203125
seed11_hist1p0,11,1.0,12000,24000,/Users/kw/Documents/Playground/vhee_topas/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case05,Parapharyngeal / prestyloid deep-space bulky mass,combined_processed_scaled,3.4999999046325683,3.8795579075813293,13.992657949015037,7.41235479677951,1.887748000823505,7.0027016989349695,5.7762172550042985,15.338096046447754,14.71565486907959,6.787061565572565,8.126899319536546,20.33294105529785
