plan_id,physical_rank,no_sink_rank,with_sink_rank,no_sink_vs_physical_shift,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift,physical_risk_score,no_sink_risk_score,with_sink_risk_score
case02,2,1,1,-1,-1,0,-1.9335834344633442,-3.5738556892566833,-3.721391293591303
case03,6,6,6,0,0,0,4.261402113271613,3.2150417994317353,4.662559904185677
case04,3,3,3,0,0,0,-0.824208793031747,0.7053577610717243,-1.4953870897906523
case05,4,5,5,1,1,0,0.4952810820581133,1.7405389300206118,2.553008925441104
case06,5,4,4,-1,-1,0,2.5171700373222183,1.3653971309121795,1.3146989301009655
case07,1,2,2,1,1,0,-4.516061000920657,-3.4524799321795814,-3.313489376345807
