plan_id,case_label,site_group,model_id,model_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank,repeat_id,seed,history_scale,model_risk_score,model_rank_within_case
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,no_sink,"Bystander, no vascular sink",18.01054677963257,1.489759553614028,22.946500727172065,19.86751812304363,20.995208358764643,30.07244209289551,6.961421952103123,21.267693710327148,21.746880026424634,44.411277770996094,18.657503041354094,15.755151660638571,29.06786003112793,15.531443741264917,22.946500727172065,38.804842173258464,26.047721646839765,525.0,18031.0,-2.6845801311418462,2.0,seed11_hist0p5,11,0.5,3.686291108747364,4
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",17.2990761756897,1.5065150248020436,22.640203943651205,19.63085950169414,20.880841674804685,29.829815368652348,6.708463727103339,20.549619674682617,21.68002196805027,44.21287155151367,18.185486338836977,15.513539554628384,29.055817413330075,14.884607205988036,22.640203943651205,38.78745944795154,25.746480326705154,525.0,18031.0,-2.7324203823451976,2.0,seed11_hist0p5,11,0.5,0.8468945418249629,2
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,no_sink,"Bystander, no vascular sink",17.390217304229736,1.5264859216008824,21.324895393327555,17.732280408211473,38.92907775878906,37.458449859619144,16.921798355410797,20.29178171157837,19.326947979882775,43.85106658935547,20.210569038776438,13.93992059347478,25.35408435821533,19.544081876478288,21.324895393327555,38.07241579803813,24.94121646278282,793.0,18035.0,2.2582982390811797,4.0,seed11_hist0p5,11,0.5,3.0183998837529264,4
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",15.52032208442688,1.3466538021946348,20.514228044155043,17.346032266539705,38.77044418334961,37.11350723266602,15.77126443073003,16.617465019226074,19.232708471847392,39.643516540527344,19.199879563456832,13.73639060553241,24.733222084045412,18.99195574478069,20.514228044155043,31.71464353130865,23.550702845544606,793.0,18035.0,2.47078609340296,5.0,seed11_hist0p5,11,0.5,2.4995647719884517,2
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,no_sink,"Bystander, no vascular sink",17.4611759185791,1.691393824575481,20.399698111195463,14.380215977918981,32.5573336791992,20.66697608947754,11.620633098332569,21.933442497253417,22.21854225253173,48.34082794189453,12.605125776926677,8.516519486961686,21.502413940429683,14.822144034710984,20.383856321986688,41.145140282809734,24.32617388391888,256.0,13699.0,-6.367157654133601,1.0,seed11_hist0p5,11,0.5,6.266455222682683,4
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",12.903889083862305,1.9568937064667467,18.398732440063903,13.73697839460498,32.33647964477537,20.544829101562502,10.654320220754604,13.021593379974366,21.975213887890796,48.209747314453125,11.679209366711703,8.27693108278601,20.359856338500972,14.129845645277697,18.380290180573194,40.94776036590338,20.92487713082601,256.0,13699.0,-6.145020025277998,1.0,seed11_hist0p5,11,0.5,-0.47419419588809963,2
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,no_sink,"Bystander, no vascular sink",17.721616363525392,1.4783788642715723,21.368659041801987,17.648713181777726,38.66802734375,38.38481796264649,22.634925761367334,19.916747570037842,19.113064357001715,43.409942626953125,12.636238388100056,13.73961470995306,25.85525848388673,18.543443377908954,21.368659041801987,36.42239383078113,24.63671167859072,776.0,18122.0,2.8201602146914055,6.0,seed11_hist0p5,11,0.5,2.771224022810694,4
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,true_vessel_sink,"Bystander, anatomical vascular sink",16.31547145843506,1.3156291470085058,20.683360955529867,17.27778134960291,38.462691955566406,38.185847473144534,21.288964265765564,17.551040172576904,19.03143134574772,41.76424789428711,12.077912620582966,13.559114800360739,25.266599349975586,17.912971471608536,20.683360955529867,30.964864445715836,23.536164819792976,776.0,18122.0,3.308864971409662,6.0,seed11_hist0p5,11,0.5,2.570864979852185,2
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,no_sink,"Bystander, no vascular sink",17.76311664581299,1.2811260308918648,23.53861459379588,19.6860571850795,25.457711334228513,27.782933502197267,19.312239128652244,19.193201065063477,19.471123732280436,42.20827865600586,4.502766791979472,15.271706076528057,26.943432235717772,14.970251643148048,23.53861459379588,34.40922234933588,26.85857715761318,237.0,16899.0,2.708445507146301,5.0,seed11_hist0p5,11,0.5,4.5129450323996405,4
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,true_vessel_sink,"Bystander, anatomical vascular sink",16.295630264282227,1.3012727459382574,22.96797369245444,19.25808328776147,25.427944641113278,27.746840286254884,18.628610932706582,17.97513771057129,19.421841588920852,42.208274841308594,4.102329761692972,14.893435302594018,26.81632461547851,14.331976973531942,22.96797369245444,34.40921824491477,26.442741041275458,237.0,16899.0,1.4273385431462349,3.0,seed11_hist0p5,11,0.5,1.2181366464669448,2
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,no_sink,"Bystander, no vascular sink",18.391654396057127,1.468825014384343,23.535329204789782,21.06315567920979,28.031175537109373,31.230809860229495,21.453150404342498,20.37187261581421,21.185783908832185,54.49760055541992,20.764455325194078,19.917746160261228,31.46359283447266,20.84511277406222,23.535329204789782,40.23731477558613,27.394219448564858,512.0,16591.0,1.2648338243565682,3.0,seed11_hist0p5,11,0.5,5.261707526309911,4
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,true_vessel_sink,"Bystander, anatomical vascular sink",17.357867431640624,1.4952187672260537,22.8635135803234,20.368688891169192,27.987682647705075,30.953559265136718,20.98454906964543,19.61395969390869,21.102916528565967,54.49747848510742,20.302745019546663,19.432967408999605,31.00056133270264,20.0866155750703,22.8635135803234,40.228776052594185,26.904943232639496,512.0,16591.0,1.6704507996643412,4.0,seed11_hist0p5,11,0.5,-0.013235331919126445,2
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,no_sink,"Bystander, no vascular sink",16.96176233291626,1.6584492320186497,20.115465203190155,16.83309521278808,15.845369949340819,23.41188301086426,5.458765214862246,19.88572769165039,18.453513530754822,43.333858489990234,15.904860400190257,12.301927821424574,24.6331844329834,12.88568625271908,20.115465203190155,38.23289302280971,23.05339969694036,525.0,18031.0,-5.064422623865606,1.0,seed11_hist1p0,11,1.0,4.01487898375597,4
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",16.23165006637573,1.6803261898142436,19.80471553005206,16.59605856525259,15.768823318481445,23.201296234130865,5.264114377233717,19.37091178894043,18.39885075099697,43.32156753540039,15.441123910383745,12.081087497509248,24.61632461547851,12.292074936768033,19.80471553005206,38.21728022984096,22.743965107194928,525.0,18031.0,-5.087357338791497,1.0,seed11_hist1p0,11,1.0,1.0320404838664305,2
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,no_sink,"Bystander, no vascular sink",17.374269008636475,1.5591256551128332,20.562481079038665,17.247256144089196,40.397864532470706,38.19147644042969,16.54175677251334,20.195899105072023,19.337422593828325,42.983402252197266,19.650599576006034,13.742043091381532,23.994822578430178,18.768409212814305,20.562481079038665,37.986616305415,24.36405056952637,793.0,18035.0,2.2640979725217787,4.0,seed11_hist1p0,11,1.0,3.1217599170043577,4
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",15.257014513015747,1.3752408600740587,19.71881368324697,16.844402162675266,40.18851837158203,37.894119110107425,15.431834284464518,16.41738510131836,19.244881629943848,40.6700553894043,18.62939704548229,13.536275593610295,23.544981956481934,18.199232640603817,19.71881368324697,31.552137273858204,22.9429899807944,793.0,18035.0,4.109109973408836,5.0,seed11_hist1p0,11,1.0,2.544993059439027,2
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,no_sink,"Bystander, no vascular sink",17.155239868164063,1.5041484100569316,19.728392806019183,14.080710792980218,31.519505462646485,20.119309310913085,12.827582412295872,21.305648612976075,20.696327984517573,39.568172454833984,12.209008666240807,8.46376656209204,20.68876022338867,14.580490942096512,19.718570357643515,35.40755386650562,23.53993371250212,256.0,13699.0,-4.296521871359432,2.0,seed11_hist1p0,11,1.0,6.256239688876524,4
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",12.342333507537841,1.7457635342289697,17.73740464321508,13.442020824743205,31.298885955810547,19.899185943603516,11.941262523574059,12.370623588562012,20.45195153032663,39.397586822509766,11.262350849190144,8.220331622318497,19.625805740356444,13.89057104858421,17.72500361690235,35.19428565353155,20.159824033141685,256.0,13699.0,-4.818333533756981,2.0,seed11_hist1p0,11,1.0,-0.44342288554230347,2
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,no_sink,"Bystander, no vascular sink",17.402676391601563,1.5212985260701846,20.462724478898256,17.122977047521967,38.485528259277345,37.79617462158203,23.260977230650006,19.524928092956543,19.522847890115745,41.76311492919922,11.954371354074189,13.415232620434397,24.055740509033203,18.097825410556187,20.462724478898256,36.48578618973801,23.983317911960395,776.0,18122.0,3.219840668048856,5.0,seed11_hist1p0,11,1.0,2.8725300008901966,4
