metric,label,baseline_delta,mean_delta,p2_5_delta,p97_5_delta,prob_same_sign_as_baseline
ptv_d95,PTV D95,-1.2687956714630126,-1.6717229186571563,-6.403705163002013,-0.34706908226013294,1.0
pvdr,PVDR,-0.021753335371913308,-0.02248183936777295,-0.13283344737045757,0.16270799384658377,1.0
spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.5991405248911083,-0.691804546260534,-2.1128357607703174,-0.2003003299987619,1.0
spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.389444845798657,-0.45455454359482594,-0.9949759749779368,-0.17599210865502446,1.0
cord_d2,Cord D2,-0.10248694229126035,-0.11522873614384564,-0.18717439842223865,-0.04077384567260505,1.0
brainstem_d2,Brainstem D2,-0.21931540679931594,-0.22052558840238132,-0.4822683792114274,-0.04838849639892452,1.0
parotid_r_mean,Parotid R mean,-0.6169358770293419,-0.6857888293488598,-1.2006012411791853,-0.16308193858825829,1.0
