plan_id,baseline_biology_adds_brainstem_failure,prob_biology_adds_brainstem_failure,n_positive_samples,n_samples
case01,0,0.07692307692307693,1,13
case02,0,0.07692307692307693,1,13
case03,1,0.8461538461538461,11,13
case04,1,1.0,13,13
case05,0,0.46153846153846156,6,13
case06,0,0.07692307692307693,1,13
case07,0,0.07692307692307693,1,13
case08,0,0.23076923076923078,3,13
case09,0,0.3076923076923077,4,13
case10,0,0.46153846153846156,6,13
