plan_id,case_label,site_group,mode,mode_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,physical_only,Physical-only,0.6238512396812439,0.3325668275356293,0.6238512396812439,0.3325668275356293,0.0,0.0,0.0,0.0,0.0,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",0.6751646995544434,0.5446820855140686,0.9924221038818359,0.8712941408157349,125.87166595458984,52.53251266479492,90.45977783203125,3373.658447265625,1282.9296875,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",0.6751656532287598,0.5442502498626709,0.9924176931381226,0.8644087314605713,125.81494903564453,51.4125862121582,87.56173706054688,3373.163818359375,1262.3704833984375,0.9410877556791404,79.872
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,0.6222640872001648,0.3247654139995575,0.6222640872001648,0.3247654139995575,0.0,0.0,0.0,0.0,0.0,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",0.6587980389595032,0.529224693775177,0.9953557252883911,0.8799649477005005,141.53184509277344,57.3692512512207,123.79008483886719,3746.7548828125,1409.832275390625,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",0.658805251121521,0.5287089943885803,0.9953405261039734,0.8712612986564636,141.200439453125,55.47654342651367,119.22822570800781,3743.346923828125,1373.219482421875,0.9572678791193765,112.008
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,0.6408873200416565,0.3750283718109131,0.6408873200416565,0.3750283718109131,0.0,0.0,0.0,0.0,0.0,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",0.676517903804779,0.5585822463035583,0.9952397346496582,0.8981489539146423,139.2731170654297,64.31080627441406,150.22689819335938,3705.947021484375,1577.042236328125,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",0.675227701663971,0.5586006045341492,0.959165096282959,0.8771268725395203,86.75362396240234,53.33783721923828,135.9909210205078,2492.42529296875,1364.216552734375,0.9702324252238521,162.968
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,0.6241697072982788,0.30650126934051514,0.6241697072982788,0.30650126934051514,0.0,0.0,0.0,0.0,0.0,0.9163095875736476,54.744
