plan_id,heuristic_score,spots_mm,vertex_count,ptv_d95_phys,ptv_d95_bio,pvdr_phys,pvdr_bio,spill_shell_0_5_mean_phys,spill_shell_0_5_mean_bio,spill_shell_5_15_mean_phys,spill_shell_5_15_mean_bio,cord_d2_phys,cord_d2_bio,brainstem_d2_phys,brainstem_d2_bio,parotid_r_mean_phys,parotid_r_mean_bio,gtv_d95_phys,gtv_d95_bio,thyroid_mean_phys,thyroid_mean_bio,body_dmax_phys,first_bio_failure_fraction,final_constraints_ok,final_failed_constraints,physical_risk_score,biological_risk_score,physical_rank,biological_rank,rank_shift
plan01,22.1963,"(15.0,-3.0,-9.8); (40.5,-39.0,11.2)",2,0.0,9.800570821762085,1.3811018889276692,1.2488001408000282,77.61126767297156,41.61706280772203,70.40426429748712,38.194070006561155,342.9829895019525,82.75125885009766,27.86703720092733,28.516495895385386,80.63311765974775,43.42199811975639,0.0,9.305653953552246,61.14874984134098,33.028430506434496,1233.340576171875,2,no,body_dmax_phys,4.867317855141217,-0.17347407953182936,5,3,-2
plan02,21.9538,"(15.0,-3.0,-9.8); (34.5,-43.5,-11.2)",2,0.0,9.809784555435181,1.4119272653049753,1.2441130416456996,77.73658393496527,41.66289870288685,70.23949451057531,38.156702899263315,340.8790985107421,82.75125885009766,29.962282943725256,30.46716537475549,80.66221488796552,43.434922923562155,0.0,9.34341974258423,61.507875452414446,33.145065829899465,1231.827880859375,2,no,brainstem_d2_eff; body_dmax_phys,4.654146071646043,0.8829417853415769,4,5,1
plan03,21.1345,"(15.0,-3.0,-9.8); (40.5,-33.0,11.2)",2,0.0,9.801796483993531,1.4705606220687604,1.2562515358843762,77.21313878280816,41.67920509519973,69.9975786598248,38.14185672494215,339.37423706054676,82.75125885009766,27.709988021850187,28.359896087646128,80.42671908339997,43.46704130114642,0.0,9.300951290130616,60.789606798759756,32.983328433180716,1226.389892578125,2,no,body_dmax_phys,-3.811963544358783,-0.32200661894661,2,2,0
plan04,20.8764,"(13.5,-7.5,-8.2); (42.0,-40.5,11.2)",2,0.0,9.780063056945801,1.4671016223309445,1.2695919458408234,77.49219872514705,41.747524252824945,70.27866166461519,38.140427407345605,335.6528381347656,82.75125885009766,27.77607765197714,28.42600250244105,80.61635102994894,43.4622553798271,0.0,9.237408447265626,60.86489750806241,32.97829999335234,1229.31494140625,2,no,body_dmax_phys,-1.26563481192935,0.8023309339230795,3,4,1
plan05,20.6366,"(13.5,-7.5,-8.2); (33.0,-43.5,-11.2)",2,0.0,9.82897162437439,1.4365440771502866,1.2598731389491977,77.13691161729575,41.719805471542664,69.83791937903058,38.14876498311597,334.50652160644495,82.75125885009766,31.203991317748994,31.88896408081052,80.14830148553784,43.41539087463836,0.0,9.331843376159668,60.89893265831736,33.06268452409296,1222.473388671875,2,no,brainstem_d2_eff; body_dmax_phys,-4.443865570499338,-1.1897920207867918,1,1,0
