plan_id,baseline_biology_adds_brainstem_failure,prob_biology_adds_brainstem_failure,n_positive_samples,n_samples
case01,0,0.07692307692307693,1,13
case02,0,0.15384615384615385,2,13
case03,1,0.9230769230769231,12,13
case04,1,1.0,13,13
case05,1,0.8461538461538461,11,13
case06,0,0.07692307692307693,1,13
case07,0,0.07692307692307693,1,13
case08,0,0.38461538461538464,5,13
case09,1,0.7692307692307693,10,13
case10,1,0.8461538461538461,11,13
