sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
baseline,case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.200121616227579,17.227235842707913,16.7162033777808,-0.5110324649271121
baseline,case08,cord_d2,Cord D2,12.02076622009277,35.91695602416992,35.706548919677736,-0.2104071044921838
baseline,case08,brainstem_d2,Brainstem D2,10.299411087036132,25.805145721435547,25.241566390991213,-0.563579330444334
baseline,case08,parotid_r_mean,Parotid R mean,9.591219079374063,26.109075403695154,24.98717602045849,-1.1218993832366628
baseline,case09,ptv_d95,PTV D95,3.5000001430511474,17.466094970703125,16.973918533325197,-0.49217643737792827
baseline,case09,pvdr,PVDR,1.8639824157560045,1.3517966874928806,1.24001702236287,-0.1117796651300107
baseline,case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.143698386991114,20.620197092621755,20.358461062333134,-0.26173603028862047
baseline,case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.54102773662969,17.801819162843216,17.526052780503722,-0.27576638233949424
baseline,case09,cord_d2,Cord D2,11.807664413452148,28.522125015258776,28.18966430664062,-0.33246070861815724
baseline,case09,brainstem_d2,Brainstem D2,9.051507835388184,34.268044586181645,32.897421264648436,-1.370623321533209
baseline,case09,parotid_r_mean,Parotid R mean,12.636478632146662,28.3556743467697,27.124546544238775,-1.2311278025309242
baseline,case10,ptv_d95,PTV D95,3.5,17.829437732696533,16.564589023590088,-1.2648487091064453
baseline,case10,pvdr,PVDR,1.645898441108816,1.3295951413335259,1.2309691419852413,-0.09862599934828453
baseline,case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,8.18923931996917,21.290234107646278,20.847948432405527,-0.44228567524075046
baseline,case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,7.3043823211845735,18.185106664338836,17.985503201682132,-0.1996034626567038
baseline,case10,cord_d2,Cord D2,12.623858299255371,37.73780624389648,37.59747116088867,-0.1403350830078125
baseline,case10,brainstem_d2,Brainstem D2,12.214059333801272,35.30533401489258,34.538733367919924,-0.7666006469726554
baseline,case10,parotid_r_mean,Parotid R mean,6.92926394216942,24.832267248750938,23.4439051001963,-1.3883621485546378
sample_001,case01,ptv_d95,PTV D95,3.5000001788139343,18.478713035583496,17.987122535705566,-0.4915904998779297
sample_001,case01,pvdr,PVDR,1.7942250613848219,1.5234599039789776,1.5361398042549803,0.012679900276002742
sample_001,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,21.601704414340034,21.28118923580013,-0.3205151785399032
sample_001,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,17.672861678362228,17.386959485119142,-0.28590219324308563
sample_001,case01,cord_d2,Cord D2,1.6935659074783322,12.161322097778319,12.086584739685058,-0.07473735809326065
sample_001,case01,brainstem_d2,Brainstem D2,4.724041156768799,19.195777969360353,19.029379653930665,-0.16639831542968864
sample_001,case01,parotid_r_mean,Parotid R mean,4.527316856745518,15.663583050352154,15.2729271638273,-0.39065588652485417
sample_001,case02,ptv_d95,PTV D95,3.5,18.52130994796753,17.592627239227294,-0.9286827087402365
sample_001,case02,pvdr,PVDR,1.7966069888665888,1.5279014949245247,1.5467594032601948,0.018857908335670137
sample_001,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,22.24069332466248,21.923582495416476,-0.31711082924600476
sample_001,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,18.680858471034263,18.429000076526933,-0.2518583945073303
sample_001,case02,cord_d2,Cord D2,4.304217872619628,17.225105285644524,17.17521728515624,-0.049888000488284234
sample_001,case02,brainstem_d2,Brainstem D2,7.62433998107911,25.037765884399416,24.808440704345703,-0.2293251800537135
sample_001,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.52601792764182,3.3759537889499858,-0.15006413869183444
sample_001,case03,ptv_d95,PTV D95,3.5000001192092896,18.719250202178955,17.007599353790283,-1.7116508483886719
sample_001,case03,pvdr,PVDR,1.6557359939167076,1.4637022745711092,1.29648012466081,-0.16722214991029927
sample_001,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,22.548190281462556,21.761918568355625,-0.786271713106931
sample_001,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,18.53028295938538,18.15356137422217,-0.3767215851632102
