metric,label,baseline_delta,mean_delta,p2_5_delta,p97_5_delta,prob_same_sign_as_baseline
ptv_d95,PTV D95,-1.413079624176025,-1.819366555580726,-7.120002050399781,-0.4211500763893131,1.0
pvdr,PVDR,-0.04200570884823551,-0.04141013050638632,-0.2064730197859792,0.2238481479952476,1.0
spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6867864269188843,-0.7776606128065199,-2.5917335331652347,-0.22065449240948803,1.0
spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.4079941446466771,-0.47267125028079066,-1.0199353209653312,-0.17737369433628097,1.0
cord_d2,Cord D2,-0.1718520927429182,-0.1739994791471042,-0.3194757919311533,-0.054160425186157254,1.0
brainstem_d2,Brainstem D2,-0.44883190155029273,-0.48032999009352506,-1.828033363342289,-0.059994979858400854,1.0
parotid_r_mean,Parotid R mean,-0.8827956836633006,-0.9510238963583224,-1.8683560342499717,-0.1630820102161833,1.0
