repeat_id,seed,history_scale,histories_base,histories_spot,repeat_root,plan_id,physical_rank,no_sink_rank,with_sink_rank,no_sink_vs_physical_shift,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift,physical_risk_score,no_sink_risk_score,with_sink_risk_score
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case03,9,9,10,0,1,1,4.898213384301503,4.956621406903521,5.214726566125465
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case04,7,5,5,-2,-2,0,1.4889251050603924,0.47165353431725465,-1.6460525780491557
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case05,8,7,8,-1,0,1,2.0710145127814115,1.8986574850715459,3.4229907106320154
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case06,1,3,1,2,0,-2,-9.589237195203598,-3.7767591460028846,-4.766211794995209
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case07,4,4,4,0,0,0,-0.8548327921662655,-2.0985486650713057,-2.4789971513017273
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case08,5,6,6,1,1,0,0.4144178615303589,0.5143383906067112,1.010416232203506
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case09,6,8,7,2,1,-1,0.9083397865736518,2.3300824616195728,2.268482370099476
seed11_hist2p0,11,2.0,2000000,4000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed11_hist2p0,case10,10,10,9,0,-1,-1,4.96310282185285,5.010444600599321,5.050065918167225
seed22_hist0p5,22,0.5,500000,1000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed22_hist0p5,case01,4,2,3,-2,-1,1,-0.9901762150209785,-4.3829335858827365,-3.4507570828628777
seed22_hist0p5,22,0.5,500000,1000000,/Users/kw/Desktop/SFRT_repo_docs_fix/project/public_results/revision_checks_20260616/step02_phase35_fullcohort/repeat_runs/seed22_hist0p5,case02,2,1,2,-1,0,1,-4.966988621534032,-4.83879808083967,-4.479897094121116
