plan_id,case_label,site_group,model_id,model_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank,repeat_id,seed,history_scale,model_risk_score,model_rank_within_case
case05,Parapharyngeal / prestyloid deep-space bulky mass,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",17.402676391601563,1.5213372816593738,20.461439305559875,17.108965951693808,38.485528259277345,37.79617462158203,23.260911217121162,19.524928092956543,19.4450295067424,41.76311111450195,11.949488898961231,13.261870891225472,23.68099792480469,17.82288495000342,20.461439305559875,36.48578217349102,23.982704304527886,776,18122,,,seed11_hist1p0,11,1.0,2.5036716089384745,5
case05,Parapharyngeal / prestyloid deep-space bulky mass,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",15.082115650177002,1.5808623849232872,19.35581857412486,16.577192231358474,38.415199737548825,37.690160217285154,17.682718411840575,16.14115285873413,17.793632367077997,40.35111618041992,11.870455696606877,13.21630707157468,23.77095951080323,17.38018759725631,19.35581857412486,35.520472374159034,22.46904772541773,776,18122,,,seed11_hist1p0,11,1.0,-1.9596775459677052,2
case05,Parapharyngeal / prestyloid deep-space bulky mass,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",16.03808174133301,1.525756203052554,18.927733167873516,15.942299040619302,35.3793879699707,34.72243560791016,21.513496210117534,17.925150871276855,18.319385313028153,38.57882308959961,11.102859261060003,12.472447051928777,22.769243850708015,16.947261958439874,18.927733167873516,33.70634687069765,22.091567973482228,776,18122,,,seed11_hist1p0,11,1.0,-8.70303087002605,1
case06,Buccal mucosa / cheek infiltrative crescent,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",15.133455657958985,1.4372022853740256,20.147135583475833,17.10104412990501,19.346111831665038,23.318286895751957,19.927177556355794,15.845181083679199,16.798562926773684,40.22220230102539,2.7608610943110303,13.386385203774234,22.51352424621582,12.662551530272813,20.147135583475833,33.596843421710695,23.376558584421723,237,16899,,,seed11_hist1p0,11,1.0,-0.7692896709202556,3
case06,Buccal mucosa / cheek infiltrative crescent,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",16.333958244323732,1.375279886773818,20.681751213059854,17.389797934123752,19.34757308959961,23.19827102661133,20.38842288123237,17.598727416992187,17.850084868747015,40.230979919433594,2.9227478494547836,13.502468154809787,22.767092514038083,12.954217345284693,20.681751213059854,33.60531323267941,24.435253911487052,237,16899,,,seed11_hist1p0,11,1.0,2.3524880072754755,5
case06,Buccal mucosa / cheek infiltrative crescent,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",16.87485008239746,1.360697517902809,21.019054173816112,17.61189451361554,19.284931564331053,23.40873390197754,20.531822524407897,18.170023727416993,17.798549210693075,40.230979919433594,2.6969225456016233,13.478524274015262,22.88014450073242,12.88329626422942,21.019054173816112,33.60531627477976,24.69712469717322,237,16899,,,seed11_hist1p0,11,1.0,3.606271213620815,6
case06,Buccal mucosa / cheek infiltrative crescent,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",15.7906005859375,1.39298057795689,20.27901132881273,17.22751437988133,19.133480834960938,20.66066032409668,20.50388986799452,16.994010543823244,16.941051081607217,40.23088836669922,1.8678124630390995,13.539264082260923,22.435233688354487,12.650993795274672,20.27901132881273,33.60518846632559,24.124664046368068,237,16899,,,seed11_hist1p0,11,1.0,-1.8123138240032972,2
case06,Buccal mucosa / cheek infiltrative crescent,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",15.59451503753662,1.3749323306851093,19.388051753913157,16.429752107107177,18.379125061035154,22.162018432617188,18.926464708886964,16.75722427368164,16.683084151324103,37.27614974975586,2.6132888053402756,12.796208097309108,21.422542572021484,12.271210578797016,19.388051753913157,31.19757922691635,22.690265208449233,237,16899,,,seed11_hist1p0,11,1.0,-8.180525404019015,1
case07,Oral tongue / floor-of-mouth horseshoe,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",16.20830535888672,1.453869835223935,20.16689251784633,17.839513587280457,21.850606842041014,22.380184936523438,17.033011989400844,17.562282180786134,19.07592350484417,40.50603485107422,14.910764462056786,16.489589108873364,23.88386825561524,17.150582619101257,20.16689251784633,33.78567313402891,23.23844426473365,512,16591,,,seed11_hist1p0,11,1.0,2.700287870061503,5
case07,Oral tongue / floor-of-mouth horseshoe,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",17.347247695922853,1.532802276851738,20.989313335682,18.140469880907254,21.799635467529296,22.04240692138672,17.60604601002703,19.435794067382812,20.32140157244892,42.05923843383789,15.54273271175346,16.492699377666245,24.411357421875014,17.347542352777577,20.989313335682,37.668424382805824,24.57487501921903,512,16591,,,seed11_hist1p0,11,1.0,1.2417432595005196,4
case07,Oral tongue / floor-of-mouth horseshoe,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",17.68521919250488,1.5223917101426676,21.230914696009272,18.40787730325275,21.849874114990232,22.288686294555664,17.702227663753007,19.706551456451415,20.284894529880017,42.06007766723633,15.643639270705407,16.342358621829767,24.439158630371093,17.47956011397769,21.230914696009272,37.67398604005575,24.74657855074974,512,16591,,,seed11_hist1p0,11,1.0,3.207330798653368,6
case07,Oral tongue / floor-of-mouth horseshoe,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",15.173695087432861,1.5846311296189906,20.056538656732176,17.97363031968062,21.839888076782227,22.167986602783202,15.492242287144517,17.550248527526854,17.351984812379253,41.76408004760742,15.636877815169518,16.497265831292484,24.2650496673584,17.162475322711582,20.056538656732176,37.45998901128769,23.63956400395503,512,16591,,,seed11_hist1p0,11,1.0,-2.212635886807559,2
