plan_id,case_label,site_group,model_id,model_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6475514769554138,0.47783559560775757,0.9932118058204651,0.850338339805603,126.24319458007812,52.410316467285156,134.30844116210938,3458.927978515625,1335.790283203125,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.6475358605384827,0.4796141982078552,0.9878668785095215,0.8437765836715698,100.34376525878906,44.6148567199707,116.90328979492188,2952.175537109375,1212.2423095703125,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.6475932002067566,0.4787926971912384,0.9914713501930237,0.8300688862800598,117.58883666992188,46.02604675292969,122.38582611083984,3291.354736328125,1219.002197265625,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.6478142738342285,0.48034289479255676,0.9936707019805908,0.8638822436332703,130.9907684326172,55.330406188964844,125.02271270751953,3535.857421875,1406.57666015625,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6478012204170227,0.4793345332145691,0.993425190448761,0.8342223167419434,128.79754638671875,47.75044250488281,120.39897155761719,3509.677490234375,1263.356689453125,0.9351188622443684,72.06400000000001
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6807478666305542,0.5516878366470337,0.9749436974525452,0.8835873007774353,108.25759887695312,58.38716125488281,161.32797241210938,2923.552978515625,1497.595703125,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.6815353631973267,0.553318440914154,0.9858238101005554,0.8992968201637268,112.28096771240234,64.84443664550781,165.42527770996094,3000.3759765625,1628.1807861328125,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.6813437938690186,0.5524637699127197,0.9916918873786926,0.9041610956192017,128.33200073242188,67.5594253540039,172.4627227783203,3361.431640625,1680.627685546875,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6805564165115356,0.5519521236419678,0.97605961561203,0.8881983160972595,102.53116607666016,59.9079704284668,161.36570739746094,2819.94775390625,1528.2672119140625,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.6813153624534607,0.5524761080741882,0.9853326678276062,0.8764256238937378,97.08393859863281,50.44084930419922,143.3502197265625,2786.572265625,1380.033447265625,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.6805505752563477,0.5520541667938232,0.9499179720878601,0.8514065742492676,49.59957504272461,39.70036697387695,135.7601776123047,1687.447265625,1147.8360595703125,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.6815664172172546,0.5529341101646423,0.9916808605194092,0.8936758637428284,128.18763732910156,63.97913360595703,157.0121612548828,3360.15234375,1623.845947265625,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6816293597221375,0.5524355173110962,0.9915963411331177,0.8732693195343018,127.24508666992188,57.6202392578125,151.41952514648438,3349.77978515625,1505.263427734375,0.9653124653124653,139.144
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.7261864542961121,0.524242103099823,0.978693425655365,0.8954157829284668,97.66043090820312,64.81089782714844,148.41693115234375,2556.025390625,1658.5093994140625,0.9667888835751103,145.552
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.7246336936950684,0.5243182182312012,0.9461124539375305,0.8963080644607544,75.97886657714844,66.15176391601562,148.65911865234375,2028.3751220703125,1689.1563720703125,0.9667888835751103,145.552
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.7264222502708435,0.5248426198959351,0.9840500950813293,0.9049425721168518,114.11103057861328,72.86810302734375,157.04734802246094,2874.665771484375,1816.698486328125,0.9667888835751103,145.552
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.7263534069061279,0.524126410484314,0.9826846718788147,0.8853386044502258,107.00897979736328,65.83566284179688,150.78932189941406,2747.039306640625,1674.5460205078125,0.9667888835751103,145.552
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.7262405157089233,0.5243858098983765,0.9755398035049438,0.8765737414360046,85.65962982177734,54.29696273803711,131.38702392578125,2366.88818359375,1490.3203125,0.9667888835751103,145.552
