comparator_id,comparator_label,metric,label,units,n_cases,mean_true_minus_comparator,median_true_minus_comparator,ci_lower,ci_upper,cases_favoring_true_sink,fraction_favoring_true_sink,ci_excludes_zero
randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",cytokine_global_auc,cytokine_global_auc,a.u.,10,-2.928122711181641,-2.4091415405273438,-5.335093173980713,-0.7047383117675793,7,0.7,True
randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,-43.41998291015625,-28.93701171875,-120.48180175781249,18.711974792480465,6,0.6,False
randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,0.0001915663480758667,0.0004156827926635742,-0.0003012371808290482,0.0006212058663368223,3,0.3,False
randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",mean_tunel_valley,mean_tunel_valley,a.u.,10,-0.003294086456298828,0.001486361026763916,-0.018160984814167024,0.005967380106449127,4,0.4,False
si_flip_sink,"Bystander, superior-inferior flipped vessel sink",cytokine_global_auc,cytokine_global_auc,a.u.,10,-2.8898193359375,-1.3257026672363281,-5.162092838287354,-1.0484605026245117,9,0.9,True
si_flip_sink,"Bystander, superior-inferior flipped vessel sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,-85.978564453125,-43.16290283203125,-157.5069711303711,-29.483344421386775,8,0.8,True
si_flip_sink,"Bystander, superior-inferior flipped vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.000622442364692688,-0.0004111826419830322,-0.0014649705588817596,-3.643102943897252e-05,6,0.6,True
si_flip_sink,"Bystander, superior-inferior flipped vessel sink",mean_tunel_valley,mean_tunel_valley,a.u.,10,-0.011970871686935424,-0.0071548521518707275,-0.026127827912569044,-0.0028121198713779486,8,0.8,True
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_global_auc,cytokine_global_auc,a.u.,10,15.041627502441406,16.281646728515625,12.014996395111083,17.735048522949217,0,0.0,True
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,139.9517822265625,163.6854248046875,64.35078002929687,198.71749664306643,1,0.1,True
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0006232559680938721,-0.00044676661491394043,-0.001356758177280426,-0.00013149693608284057,7,0.7,True
uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.00983780026435852,0.01575794816017151,-0.0050307103991508485,0.01955830290913582,1,0.1,False
