plan_id,case_label,site_group,model_id,model_label,support_voxels,target_mass_species0,target_mass_species1,dropout_radius_mm,random_seed,shift_voxels_xyz
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",658,105.40000915527344,1722.800048828125,20.0,,
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1892,105.40000915527344,1722.800048828125,,2321949518,"7,9,5"
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",30226,105.40000915527344,1722.800048828125,,,
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",109532,105.40000915527344,1722.800048828125,,,
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",1344,105.40000915527344,1722.800048828125,20.0,,
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",2062,105.40000915527344,1722.800048828125,,1053318484,"-4,5,7"
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",21585,105.40000915527344,1722.800048828125,,,
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",112121,105.40000915527344,1722.800048828125,,,
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",676,105.40000915527344,1722.800048828125,20.0,,
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1697,105.40000915527344,1722.800048828125,,433821060,"-9,9,4"
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",26589,105.40000915527344,1722.800048828125,,,
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",112000,105.40000915527344,1722.800048828125,,,
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",213,105.40000915527344,1722.800048828125,20.0,,
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1884,105.40000915527344,1722.800048828125,,3206733000,"3,-4,4"
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",23594,105.40000915527344,1722.800048828125,,,
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",103561,105.40000915527344,1722.800048828125,,,
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
