dataset,mode,mode_label,target_label,peripheral_target_d95_gy,pvdr,spill_shell_0_5_mean_gy,spill_shell_5_15_mean_gy,cord_d2_gy,brainstem_d2_gy,parotid_r_mean_gy,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar
phase25_safe_core_mean,physical_only,Physical-only,PTV D95,0.0,1.4334470951565272,77.43802014663757,70.15158370230661,338.67913696289037,28.903875427245783,80.49734082932,0.6170275807380676,0.510944378376007,0.6170275807380676,0.510944378376007,0.0,0.0,0.9915342003011343
phase25_safe_core_mean,bystander_no_sink,"Bystander, no vascular sink",PTV D95,12.362844076156616,1.2275475903058388,42.13286328968145,38.379455122603055,82.75125885009766,29.53458930969209,43.93540293103584,0.699642014503479,0.6404399275779724,0.9348498702049255,0.842982828617096,1529.0165283203125,915.2024780273438,0.9915342003011343
phase25_safe_core_mean,bystander_with_sink,"Bystander, anatomical vascular sink",PTV D95,9.804236850738524,1.2557259610243192,41.6852992609339,38.15636439346928,82.75125885009766,29.531704940795606,43.44032172191596,0.6997310757637024,0.6389105319976807,0.9253822207450867,0.7952566385269165,1397.9366455078125,675.4242797851563,0.9915342003011343
phase30_yang_topas_photon,physical_only,Physical-only,CTVBOOST D95,3.5,1.9446822782265965,7.2378764152526855,5.487081050872803,10.863286018371582,14.099303359985353,4.382957441106285,0.6824033856391907,0.3414399027824402,0.6824033856391907,0.3414399027824402,0.0,0.0,0.9499959996799744
phase30_yang_topas_photon,bystander_no_sink,"Bystander, no vascular sink",CTVBOOST D95,17.00303030014038,1.2764970881557425,20.39246940612793,16.46695327758789,21.663321380615233,23.8761580657959,15.566046344783297,0.79294753074646,0.5505954027175903,0.9801228046417236,0.911794900894165,2086.921630859375,1594.553466796875,0.9499959996799744
phase30_yang_topas_photon,bystander_with_sink,"Bystander, anatomical vascular sink",CTVBOOST D95,16.234291553497314,1.295416573882471,20.170013427734375,16.277969360351562,21.663321380615233,23.876081047058104,14.51490405826634,0.7929477095603943,0.550159215927124,0.9800792932510376,0.9029937386512756,2084.96923828125,1546.5555419921875,0.9499959996799744
